Wilayah,GunaLahan,LuasLahan,PersentaseLokal,FaktorPengali,IntensitasHujan,DebitLimpasanExisting
Penggalang,Zona Pertahanan dan Keamanan,"0,000",0,"0,700","53,31",0
Penggalang,Zona Pertanian,"269,230","0,8479750222","0,560","53,31","18,93607147"
Penggalang,Zona Peruntukan Lainnya,"1,586","0,004995726982","0,600","53,31","0,1427018858"
Penggalang,Zona Ruang Terbuka Hijau,"15,620","0,0491982971","0,600","53,31","0,6203233838"
Penggalang,Zona Ruang Terbuka Non Hijau,"0,000",0,"0,700","53,31",0
Penggalang,Zona Sarana Pelayanan Umum,"0,410","0,001292683013","0,950","53,31","0,07726389254"
Penggalang,Zona Perumahan,"26,119","0,08226640565","0,950","53,31","6,227348209"
Penggalang,Zona Badan Jalan,"4,512","0,01420975127","0,700","53,31","1,078967073"
Pelawad,Zona Pengelolaan Persampahan,"0,000",0,"0,500","53,31",0
Pelawad,Zona Badan Air,"0,000",0,"0,500","53,31",0
Pelawad,Zona Kawasan Peruntukan Industri,"0,000",0,"0,800","53,31",0
Pelawad,Zona Pembangkitan Tenaga Listrik,"0,000",0,"0,800","53,31",0
Pelawad,Zona Perdagangan dan Jasa,"1,477","0,03274894335","0,950","53,31","0,3357220573"
Pelawad,Zona Perkantoran,"0,072","0,001599340704","0,950","53,31","0,01648773439"
Pelawad,Zona Perkebunan Rakyat,"1,829","0,040535861","0,800","53,31","0,1575681927"
Pelawad,Zona Pertahanan dan Keamanan,"0,000",0,"0,700","53,31",0
Pelawad,Zona Pertanian,"6,038","0,1338485695","0,560","53,31","0,4476944279"
Pelawad,Zona Peruntukan Lainnya,"0,000",0,"0,600","53,31",0
Pelawad,Zona Ruang Terbuka Hijau,"8,803","0,1951470184","0,600","53,31","0,4251006705"
Pelawad,Zona Ruang Terbuka Non Hijau,"0,077","0,001703300857","0,700","53,31","0,009103747398"
Pelawad,Zona Sarana Pelayanan Umum,"0,323","0,007169182359","0,950","53,31","0,05406336026"
Pelawad,Zona Perumahan,"24,942","0,5529441238","0,950","53,31","6,985872729"
Pelawad,Zona Badan Jalan,"1,547","0,03430366004","0,700","53,31","0,3407971086"
Ranjeng,Zona Pengelolaan Persampahan,"0,000",0,"0,500","53,31",0
Ranjeng,Zona Badan Air,"0,686","0,004625825001","0,500","53,31","0,02536180693"
Ranjeng,Zona Kawasan Peruntukan Industri,"0,000",0,"0,800","53,31",0
Ranjeng,Zona Pembangkitan Tenaga Listrik,"0,000",0,"0,800","53,31",0
Ranjeng,Zona Perdagangan dan Jasa,"1,284","0,00865365665","0,950","53,31","0,2334005857"
Ranjeng,Zona Perkantoran,"0,000",0,"0,950","53,31",0
Ranjeng,Zona Perkebunan Rakyat,"0,441","0,002972806996","0,800","53,31","0,03673648226"
Ranjeng,Zona Pertahanan dan Keamanan,"0,000",0,"0,700","53,31",0
Ranjeng,Zona Pertanian,"48,845","0,329178474","0,560","53,31","3,902382706"
Ranjeng,Zona Peruntukan Lainnya,"0,000",0,"0,600","53,31",0
Ranjeng,Zona Ruang Terbuka Hijau,"17,671","0,1190891781","0,600","53,31","0,7584848122"
Ranjeng,Zona Ruang Terbuka Non Hijau,"0,000",0,"0,700","53,31",0
Ranjeng,Zona Sarana Pelayanan Umum,"1,200","0,008084287868","0,950","53,31","0,2088382875"
Ranjeng,Zona Perumahan,"70,041","0,472017502","0,950","53,31","18,04410157"
Ranjeng,Zona Badan Jalan,"8,217","0,05537826932","0,700","53,31","1,9562629"
